#ZVView-data-copy:  27-Nov-2023 14:53:58
#=======================================
#
"#name:   ENDF/B-VIII.0: TM-171(N,G)TM-172"
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  20131
#data...
#            X            Y
#          MeV        barns
    2.44578e-5      12815.5 
    2.44681e-5      13107.7 
    2.44775e-5      13306.1 
    2.44869e-5      13436.4 
    2.44959e-5      13494.9 
    2.44993e-5      13499.8 
    2.45082e-5      13467.7 
    2.45197e-5      13330.8 
    2.45291e-5      13142.8 
    2.45394e-5      12861.3 
    2.45506e-5      12472.7 
    2.45609e-5      12050.7 
     2.4575e-5        11391 
     2.4589e-5      10657.6 
    2.46125e-5       9342.6 
    2.46406e-5      7747.04 
    2.46546e-5      6987.33 
    2.46687e-5      6271.47 
    2.46781e-5      5823.05 
    2.46874e-5      5399.75 
    2.46968e-5      5002.52 
    2.47062e-5      4631.77 
    2.47155e-5      4287.36 
    2.47249e-5      3968.77 
    2.47343e-5      3675.11 
    2.47437e-5      3405.25 
     2.4753e-5      3157.89 
    2.47624e-5       2931.6 
    2.47718e-5      2724.89 
    2.47812e-5      2536.26 
    2.47905e-5      2364.23 
    2.47999e-5      2207.36 
    2.48093e-5      2064.28 
    2.48186e-5      1933.73 
     2.4828e-5      1814.49 
    2.48374e-5      1705.47 
    2.48468e-5      1605.68 
    2.48561e-5      1514.19 
     2.4866e-5      1426.17 
    2.48758e-5      1345.54 
    2.48856e-5      1271.55 
    2.48955e-5      1203.51 
    2.49086e-5      1121.03 
    2.49184e-5      1064.66 
    2.49332e-5      987.847 
     2.4948e-5      919.168 
    2.49627e-5      857.513 
    2.49775e-5      801.952 
    2.49873e-5      767.905 
    2.50037e-5      715.863 
    2.50201e-5      669.014 
    2.50365e-5      626.682 
    2.50529e-5      588.299 
    2.50693e-5      553.381 
    2.50857e-5       521.52 
    2.51021e-5      492.364 
    2.51185e-5      465.613 
    2.51373e-5      437.652 
     2.5156e-5      412.161 
    2.51748e-5      388.854 
    2.51935e-5      367.486 
    2.52122e-5      347.847 
     2.5231e-5      329.755 
    2.52497e-5       313.05 
    2.52685e-5      297.594 
    2.52919e-5      279.845 
    2.53153e-5       263.65 
    2.53388e-5      248.833 
    2.53622e-5      235.242 
    2.53856e-5      222.743 
    2.54091e-5      211.223 
    2.54325e-5      200.581 
    2.54676e-5      186.078 
    2.55028e-5      173.106 
    2.55379e-5      161.457 
    2.55731e-5      150.957 
    2.56082e-5      141.459 
    2.56433e-5      132.839 
    2.56838e-5      123.877 
    2.57242e-5      115.803 
    2.57646e-5      108.503 
     2.5805e-5       101.88 
    2.58454e-5      95.8547 
